Food Name,GI,Food Manufacturer,Product Category,Country of food production,Serving Size (g),Carbohydrate portion (g) or Average Carbohydrate portion (g),GL,Reference:,Subjects type,Time,Subjects Number,Year of test
"Cake, NS, decreased GI variant, sugar-to-flour ratio: 0.80",20,"Bakery School, Herk-de-Stad, Belgium",Bakery Products,Belgium,,30,6,"Vrolix, R. and R.P. Mensink, Variability of the glycemic response to single food products in healthy subjects. Contemporary Clinical Trials, 2010. 31(1): p. 5-11.",Normal,2h,10,2010
"Carrot cake, prepared with wheat flour and coconut flour",37,,Bakery Products,Philippines,,30,11,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal,2h,10,2002
Chocolate cake made from packet mix with chocolate frosting,38,"Betty Crocker, General Mills Inc., Minneapolis, USA",Bakery Products,USA,,30,11,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
Chocolate mudcake,43,,Bakery Products,Australia,,30,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2009
Christmas fruit cake,53,,Bakery Products,Australia,,30,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2009
"Cupcake, strawberry-iced",73,"Squiggles, Farmland, Grocery Holdings, Tooronga, Australia",Bakery Products,Australia,,30,22,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Plumcake, prepared with wheat flour and yogurt",47,"Mulino Bianco, Barilla, Italy",Bakery Products,Italy,,30,14,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2005
Pound cake 0%,38,"Bimbo S.A de C.V, Mexico",Bakery Products,Mexico,,30,11,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,12,2006
"Raspberry Coffee cake, President's Choice® Blue Menu™",50,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,15,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Sponge cake, filled with marmalade and yogurt cream",57,"Yogo brioss, Ferrero, Italy",Bakery Products,Italy,,30,17,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2014
"Sponge cake with cocoa, milk cream-filled, coated with chocolate",58,"Kinder Délice, Italy",Bakery Products,Italy,,30,17,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2012
"Sponge cake with cocoa, milk cream-filled, coated with chocolate and coconut pieces (Kinder Délice Cocco)",56,"Ferrero, Italy",Bakery Products,Italy,,30,17,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2012
"Sponge cake, soft wheat flour, carrots (14%), almonds (7%) (Camille, Mulino Bianco)",51,"Barilla, Italy",Bakery Products,Italy,,30,15,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2007
"Sponge cake, soft wheat flour, filled with chocolate cream (Kinder Pan e Cioc Cacao)",61,"Ferrero, Italy",Bakery Products,Italy,,30,18,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2014
"Sponge cake, soft wheat flour, ground cereals (rice, barley, rye, oat, wheat) and cocoa, filled with barley malt cream (Kinder colazione più)",66,"Ferrero, Italy",Bakery Products,Italy,,30,20,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2014
"Sponge cake, soft wheat flour, orange cream-filled, coated with chocolate, Fiesta",60,"Ferrero, Italy",Bakery Products,Italy,,30,18,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2012
"Sponge cake, soft wheat flour, with almond and chocolate pieces (Brioche Cereali e Cioccolato, Grancereale)",66,"Barilla, Italy",Bakery Products,Italy,,30,20,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2012
"Sponge cake, wheat flour, rolled barley and oat (2.5%), filled with apricot jam (Brioss Albicocca ecereali)",60,Ferrero Italy,Bakery Products,Italy,,30,18,"Cossu, M., et al., A nutritional evaluation of various typical Italian breakfast products: a comparison of macronutrient composition and glycaemic index values. International Journal of Food Sciences and Nutrition, 2018. 69(6): p. 676-681.",Normal,2h,10,2012
"Vanilla cake, made from packet mix with vanilla frosting",42,"Betty Crocker, General Mills Inc., Minneapolis, USA",Bakery Products,USA,,30,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Cake, prepared with yoghurt, gluten-free (Plum cake)",42,"Dr Shaer AG/SPA, Italy",Bakery Products,Italy,,30,13,"Scazzina, F., et al., Glycaemic index of some commercial gluten-free foods. European Journal of Nutrition, 2015. 54(6): p. 1021-6.",Normal,2h,10,2015
